exp,QSP/init_value/Parameter/k_C1_growth,QSP/init_value/Parameter/k_C1_death,QSP/init_value/Parameter/initial_tumour_diameter,QSP/init_value/Parameter/k_Treg,QSP/init_value/Parameter/n_T1_clones,QSP/init_value/Parameter/n_T2_clones,QSP/init_value/Parameter/n_T3_clones,QSP/init_value/Parameter/n_T4_clones,QSP/init_value/Parameter/n_T5_clones,QSP/init_value/Parameter/n_T6_clones,QSP/init_value/Parameter/n_T7_clones,QSP/init_value/Parameter/n_T8_clones,QSP/init_value/Parameter/n_T9_clones,QSP/init_value/Parameter/n_T10_clones,QSP/init_value/Parameter/n_T11_clones,QSP/init_value/Parameter/n_T12_clones,QSP/init_value/Parameter/n_T13_clones,QSP/init_value/Parameter/n_T14_clones,QSP/init_value/Parameter/n_T15_clones,QSP/init_value/Parameter/n_T16_clones,QSP/init_value/Parameter/n_T17_clones,QSP/init_value/Parameter/k_P1_d1,QSP/init_value/Parameter/k_P2_d1,QSP/init_value/Parameter/k_P3_d1,QSP/init_value/Parameter/k_P4_d1,QSP/init_value/Parameter/k_P5_d1,QSP/init_value/Parameter/k_P6_d1,QSP/init_value/Parameter/k_P7_d1,QSP/init_value/Parameter/k_P8_d1,QSP/init_value/Parameter/k_P9_d1,QSP/init_value/Parameter/k_P10_d1,QSP/init_value/Parameter/k_P11_d1,QSP/init_value/Parameter/k_P12_d1,QSP/init_value/Parameter/k_P13_d1,QSP/init_value/Parameter/k_P14_d1,QSP/init_value/Parameter/k_P15_d1,QSP/init_value/Parameter/k_P16_d1,QSP/init_value/Parameter/k_P17_d1,QSP/init_value/Parameter/C1_PDL1_total,QSP/init_value/Parameter/C1_PDL2_total,QSP/init_value/Parameter/Treg_CTLA4_50,QSP/init_value/Parameter/k_CTLA4_ADCC,QSP/init_value/Parameter/IC50_ENT_C,QSP/init_value/Parameter/k_sec_CCL2,QSP/init_value/Parameter/k_sec_NO,QSP/init_value/Parameter/k_sec_ArgI,QSP/init_value/Parameter/IC50_ENT_NO,QSP/init_value/Parameter/ki_Treg,QSP/init_value/Parameter/IC50_ArgI_CTL,QSP/init_value/Parameter/IC50_NO_CTL,QSP/init_value/Parameter/k_a1_ENT,QSP/init_value/Parameter/k_a2_ENT,QSP/init_value/Parameter/k_cln_ENT,QSP/init_value/Parameter/q_T_ENT,QSP/init_value/Parameter/k_cl_ENT
11,0.0196532,7.26621e-05,0.692569,0.332914,15.7226,15.7226,15.7226,15.7226,15.7226,15.7226,15.7226,15.7226,15.7226,15.7226,15.7226,15.7226,15.7226,15.7226,15.7226,15.7226,15.7226,5.33346e-09,2.08333e-08,5.28321e-07,4.29689e-08,6.81914e-09,2.85566e-07,1.36716e-07,1.84073e-09,3.92545e-07,2.20645e-07,1.27893e-07,3.31217e-08,8.35355e-08,2.99554e-08,1.64526e-07,1.90737e-07,2.93603e-08,132316,18871.5,737.924,0.692283,1.69156e-07,1.48964e-10,4.59235e-07,0.014387,1.29681e-10,0.362813,19.4866,1.27294e-09,1.93826,6.17241,9.93684e-05,3376.27,0.371723
12,0.034101,6.67679e-05,0.672069,0.722721,17.9243,17.9243,17.9243,17.9243,17.9243,17.9243,17.9243,17.9243,17.9243,17.9243,17.9243,17.9243,17.9243,17.9243,17.9243,17.9243,17.9243,8.23677e-09,1.29615e-08,2.75667e-07,2.12635e-08,2.51431e-08,1.37849e-09,2.71264e-09,6.58846e-09,1.43106e-07,6.19456e-08,4.73408e-09,7.39647e-09,2.00629e-08,2.618e-08,5.23754e-07,1.42419e-09,3.97739e-07,41970.2,2709.94,349.043,0.453848,2.92766e-08,1.25358e-10,5.31393e-07,0.014609,3.6285e-09,0.282724,223.077,3.50301e-10,1.95816,4.12347,7.47636e-05,3339.26,0.241475
13,0.0411731,2.3567e-05,0.613264,0.766175,13.5194,13.5194,13.5194,13.5194,13.5194,13.5194,13.5194,13.5194,13.5194,13.5194,13.5194,13.5194,13.5194,13.5194,13.5194,13.5194,13.5194,3.96564e-07,2.42758e-09,1.5211e-08,1.60458e-09,2.54944e-07,4.84474e-08,2.11004e-07,1.10435e-07,1.01813e-08,3.94972e-07,1.72874e-07,1.52814e-07,4.36015e-08,5.84011e-08,1.28037e-08,1.289e-08,3.53129e-08,514702,2074.75,371.941,0.945899,1.18915e-07,1.98119e-10,4.09436e-07,0.0141984,2.57864e-10,0.622481,11.133,4.09724e-10,1.99073,6.71488,8.23014e-05,3269.86,1.17573
14,0.0705933,3.87123e-05,0.570023,0.294765,14.9759,14.9759,14.9759,14.9759,14.9759,14.9759,14.9759,14.9759,14.9759,14.9759,14.9759,14.9759,14.9759,14.9759,14.9759,14.9759,14.9759,1.25049e-08,4.59316e-08,4.66488e-09,1.4538e-09,1.53631e-09,1.64685e-08,2.67827e-07,9.16302e-09,1.34418e-07,2.92953e-07,6.17345e-09,9.06808e-08,6.05759e-09,4.97698e-08,5.10263e-08,1.0146e-07,2.22349e-07,634152,8843.46,160.106,0.15435,1.20049e-08,1.83387e-10,4.04104e-07,0.0154113,3.21196e-09,1.96679,461.177,1.49113e-10,2.0252,7.06699,8.6817e-05,3277.8,0.571979
15,0.0161745,0.000133527,0.553928,0.338228,16.7065,16.7065,16.7065,16.7065,16.7065,16.7065,16.7065,16.7065,16.7065,16.7065,16.7065,16.7065,16.7065,16.7065,16.7065,16.7065,16.7065,9.4938e-08,2.66649e-08,3.51106e-09,9.01539e-09,1.03482e-08,1.7721e-08,7.60495e-09,2.33702e-08,6.71698e-09,7.77851e-08,9.39423e-09,1.55247e-09,7.44175e-09,9.90099e-08,4.93505e-09,2.05059e-09,5.44308e-08,319225,24860.6,538.01,0.724542,7.19516e-09,1.17286e-10,4.35578e-07,0.014203,4.61659e-09,0.742459,131.228,1.89058e-10,2.1623,4.31744,0.000107453,3337.06,0.200426
16,0.0387926,0.000212831,0.546628,0.708676,37.0587,37.0587,37.0587,37.0587,37.0587,37.0587,37.0587,37.0587,37.0587,37.0587,37.0587,37.0587,37.0587,37.0587,37.0587,37.0587,37.0587,1.92045e-08,1.20344e-08,1.25059e-07,2.13589e-09,5.14997e-09,5.49687e-08,4.60569e-07,5.37332e-09,5.95303e-09,2.68581e-08,2.27034e-09,3.94544e-09,1.61303e-09,2.21061e-07,2.6179e-08,4.98975e-09,1.90596e-07,67312.5,14045.8,436.5,0.330669,3.61057e-08,1.63077e-10,4.23028e-07,0.0127874,2.3147e-10,0.672706,84.6759,1.50776e-09,2.04276,4.94201,0.00012173,3265.42,0.164787
17,0.0137141,2.9761e-05,0.665459,0.203862,7.86947,7.86947,7.86947,7.86947,7.86947,7.86947,7.86947,7.86947,7.86947,7.86947,7.86947,7.86947,7.86947,7.86947,7.86947,7.86947,7.86947,2.24193e-07,1.67488e-09,1.0843e-08,4.46744e-07,2.02253e-07,1.99135e-09,5.36984e-08,4.96104e-07,1.62794e-08,2.69764e-09,3.98955e-09,8.02483e-08,1.11457e-08,1.41367e-09,2.6922e-09,7.90959e-08,8.24477e-09,77451.1,2252.11,488.188,0.175105,1.29294e-07,1.06886e-10,4.76929e-07,0.012562,6.05911e-10,0.385268,25.6208,3.6619e-09,2.17328,2.51442,0.000114953,3233.64,0.183346
18,0.0177553,1.05824e-05,0.839857,0.666204,29.3481,29.3481,29.3481,29.3481,29.3481,29.3481,29.3481,29.3481,29.3481,29.3481,29.3481,29.3481,29.3481,29.3481,29.3481,29.3481,29.3481,9.67103e-09,5.21342e-09,1.51891e-07,5.88711e-09,3.30722e-08,3.29536e-08,1.23124e-08,2.15117e-09,4.0196e-07,4.75544e-09,1.07946e-07,1.03747e-08,2.51497e-09,1.19263e-08,4.56247e-07,1.05566e-08,8.91823e-08,97635.2,2428.85,312.629,0.663039,3.33513e-09,1.14853e-10,4.37597e-07,0.0121736,7.98425e-10,2.67113,193.641,5.21632e-10,1.99937,2.64169,9.31823e-05,3320.62,0.221764
19,0.0217045,0.000666438,0.584865,0.475315,16.1082,16.1082,16.1082,16.1082,16.1082,16.1082,16.1082,16.1082,16.1082,16.1082,16.1082,16.1082,16.1082,16.1082,16.1082,16.1082,16.1082,1.55201e-09,4.05778e-08,4.71112e-08,1.35353e-08,2.14967e-09,3.13034e-09,4.25389e-09,2.89708e-08,1.37162e-09,1.8835e-07,4.722e-08,2.33541e-08,1.97163e-07,7.24403e-09,2.0253e-08,1.6143e-09,1.82479e-07,1.28155e+06,7227.63,390.621,0.340241,2.04685e-07,1.41876e-10,5.11937e-07,0.0158143,8.80557e-11,2.21682,70.7811,9.20953e-11,2.12343,5.68232,8.26944e-05,3290.39,0.193706
20,0.00616767,0.000256873,0.899347,0.225921,7.98203,7.98203,7.98203,7.98203,7.98203,7.98203,7.98203,7.98203,7.98203,7.98203,7.98203,7.98203,7.98203,7.98203,7.98203,7.98203,7.98203,1.66772e-09,7.28805e-09,4.12376e-08,2.71846e-07,1.26694e-08,3.51006e-07,1.59214e-07,2.16454e-08,4.97631e-07,9.11331e-09,8.20945e-08,2.75694e-08,4.43986e-09,1.54981e-08,1.07802e-08,3.12361e-07,1.15673e-08,71041.6,11013.7,952.004,0.143436,1.01022e-07,1.34201e-10,5.05688e-07,0.0136436,1.48699e-09,1.21993,560.925,2.10901e-09,2.08179,4.66104,6.69368e-05,3227.1,0.211013
21,0.0257281,2.17911e-05,0.656545,0.391557,15.0249,15.0249,15.0249,15.0249,15.0249,15.0249,15.0249,15.0249,15.0249,15.0249,15.0249,15.0249,15.0249,15.0249,15.0249,15.0249,15.0249,1.71237e-07,2.72681e-07,1.13607e-08,1.82623e-07,3.64541e-08,2.3934e-07,1.08163e-07,3.52647e-09,7.75739e-08,4.16711e-09,1.36331e-08,5.25573e-09,5.15974e-08,4.4662e-08,1.12996e-08,2.26024e-08,2.07386e-08,657558,9803.64,468.913,0.785621,5.44201e-09,9.63505e-11,4.57051e-07,0.0138686,1.12437e-10,2.13349,7.50789,5.98539e-10,1.9457,3.21327,8.81665e-05,3245,0.532918
22,0.0470531,0.000585129,0.503805,0.16258,18.7428,18.7428,18.7428,18.7428,18.7428,18.7428,18.7428,18.7428,18.7428,18.7428,18.7428,18.7428,18.7428,18.7428,18.7428,18.7428,18.7428,4.06479e-08,4.51763e-07,3.15572e-09,4.00486e-08,3.95174e-07,1.91722e-07,1.81824e-09,2.0602e-07,2.86673e-08,4.59536e-07,7.04389e-09,5.06494e-09,2.96178e-08,3.7199e-09,3.66803e-08,5.02544e-08,2.55356e-09,251826,1610.87,115.639,0.209347,8.40895e-09,2.00302e-10,4.15706e-07,0.0123697,2.11161e-09,1.35901,101.925,2.40833e-09,2.03107,5.83363,0.000103168,3274.39,0.299686
23,0.0153096,0.000490253,0.521036,0.619989,24.4603,24.4603,24.4603,24.4603,24.4603,24.4603,24.4603,24.4603,24.4603,24.4603,24.4603,24.4603,24.4603,24.4603,24.4603,24.4603,24.4603,5.68819e-08,6.48467e-08,4.14575e-09,4.09177e-09,3.68522e-09,1.3205e-08,1.82032e-08,1.53207e-09,1.38027e-08,2.26234e-09,2.46389e-08,2.85009e-07,2.37771e-07,1.30292e-08,6.92067e-08,1.06642e-07,1.80644e-09,412556,12813.5,244.167,0.39513,2.22742e-08,1.85638e-10,5.19095e-07,0.015382,1.87476e-09,0.319467,13.3032,1.00829e-10,2.19169,3.83782,6.31034e-05,3374.67,0.277481
24,0.0268242,0.000503768,0.793376,0.436275,14.1714,14.1714,14.1714,14.1714,14.1714,14.1714,14.1714,14.1714,14.1714,14.1714,14.1714,14.1714,14.1714,14.1714,14.1714,14.1714,14.1714,2.3394e-09,2.50874e-09,1.02013e-07,5.14411e-08,8.37942e-09,1.23404e-08,1.73599e-07,1.57259e-07,2.50884e-08,1.053e-07,3.19875e-07,8.53364e-09,6.23927e-08,1.06101e-07,1.82168e-08,1.67522e-07,1.5335e-07,193247,32674.3,129.995,0.193688,1.09837e-08,1.90164e-10,5.05066e-07,0.0145395,3.86877e-10,1.07827,66.7516,2.40836e-10,1.92318,3.86896,0.000100932,3205.33,0.774045
25,0.0119471,4.35724e-05,0.744819,0.537708,22.2128,22.2128,22.2128,22.2128,22.2128,22.2128,22.2128,22.2128,22.2128,22.2128,22.2128,22.2128,22.2128,22.2128,22.2128,22.2128,22.2128,4.73206e-07,2.99161e-09,1.06737e-07,1.95352e-09,1.96831e-08,9.70722e-08,1.45287e-09,1.32022e-07,3.66188e-09,3.15971e-08,6.23899e-08,4.05453e-08,5.51162e-09,4.51741e-09,8.50275e-08,8.29469e-09,4.54529e-09,376802,35481.5,887.595,0.80094,4.00777e-08,9.75766e-11,4.74599e-07,0.0147315,2.29231e-09,0.472535,347.791,5.89902e-09,2.06817,2.86588,6.54129e-05,3303.74,0.479668
26,0.0192236,0.000967262,0.639217,0.19531,8.57482,8.57482,8.57482,8.57482,8.57482,8.57482,8.57482,8.57482,8.57482,8.57482,8.57482,8.57482,8.57482,8.57482,8.57482,8.57482,8.57482,3.50229e-08,2.05282e-07,1.87163e-08,3.35131e-08,1.22141e-07,2.99917e-08,3.50056e-08,4.52066e-08,4.37258e-08,9.18186e-08,1.69508e-08,1.7306e-07,3.68121e-07,1.68278e-09,2.28271e-09,1.89543e-08,6.28346e-08,536070,4754.94,196.241,0.214396,3.08255e-07,8.86525e-11,5.56321e-07,0.0144775,1.2967e-09,1.03033,14.7541,1.45942e-09,1.96703,7.21369,6.96098e-05,3417.56,0.801272
27,0.0250584,1.6424e-05,0.881766,0.375478,9.94158,9.94158,9.94158,9.94158,9.94158,9.94158,9.94158,9.94158,9.94158,9.94158,9.94158,9.94158,9.94158,9.94158,9.94158,9.94158,9.94158,2.63688e-07,1.9666e-08,3.68916e-07,1.60198e-07,2.77213e-07,3.51804e-09,3.88304e-08,6.88537e-08,2.53966e-07,3.24096e-07,2.08786e-08,1.64706e-09,1.27679e-07,4.40006e-09,6.55872e-08,2.68078e-08,4.53741e-07,105696,3204.7,928.034,0.166803,1.5851e-08,1.27443e-10,5.42849e-07,0.0126355,2.56191e-09,0.480219,15.5656,5.1739e-09,2.1869,4.4157,0.000116858,3351.54,1.26824
28,0.0204905,0.000143823,0.805355,0.218845,20.4806,20.4806,20.4806,20.4806,20.4806,20.4806,20.4806,20.4806,20.4806,20.4806,20.4806,20.4806,20.4806,20.4806,20.4806,20.4806,20.4806,6.71875e-09,3.38557e-09,2.46219e-09,2.38084e-08,5.7825e-09,7.76675e-08,6.39087e-08,3.15854e-07,8.11162e-09,5.00112e-07,3.72614e-08,4.82546e-08,1.07162e-07,4.27756e-07,4.6869e-08,3.19263e-08,6.85223e-09,47797.5,15345.9,106.729,0.582847,4.4718e-09,1.22703e-10,4.81775e-07,0.0134544,7.42406e-10,0.347385,6.28807,2.71837e-09,2.15516,6.38038,8.46511e-05,3313.56,1.12812
29,0.0148856,0.000397365,0.753318,0.18076,9.77908,9.77908,9.77908,9.77908,9.77908,9.77908,9.77908,9.77908,9.77908,9.77908,9.77908,9.77908,9.77908,9.77908,9.77908,9.77908,9.77908,2.4671e-08,2.03365e-09,8.52645e-09,7.94507e-08,1.17139e-07,3.70942e-08,5.71308e-09,4.97141e-09,4.91896e-09,1.94759e-08,2.28486e-07,1.38505e-07,8.88202e-09,2.9445e-09,1.66218e-08,2.16832e-09,1.75128e-08,1.33829e+06,1251.43,408.818,0.100398,7.976e-08,1.88279e-10,4.25172e-07,0.0152584,4.40574e-10,1.68403,525.216,3.34167e-10,2.05241,3.01213,0.000119132,3329.27,0.422761
30,0.0475989,4.87492e-05,0.702122,0.317702,12.6474,12.6474,12.6474,12.6474,12.6474,12.6474,12.6474,12.6474,12.6474,12.6474,12.6474,12.6474,12.6474,12.6474,12.6474,12.6474,12.6474,1.895e-09,1.55947e-08,4.07354e-07,3.88794e-07,5.52074e-08,2.54197e-09,8.98392e-08,4.60054e-07,2.15067e-09,7.61017e-09,1.65113e-09,4.09822e-07,3.60856e-08,6.24349e-09,5.74187e-09,1.27743e-07,2.8196e-07,222125,6193.34,582.576,0.11214,9.08592e-08,1.67537e-10,4.31244e-07,0.0129361,6.49012e-11,0.426542,53.5799,2.9408e-10,2.11019,4.56427,6.75263e-05,3228.66,0.574991
31,0.0213423,0.000194239,0.515665,0.819113,23.8825,23.8825,23.8825,23.8825,23.8825,23.8825,23.8825,23.8825,23.8825,23.8825,23.8825,23.8825,23.8825,23.8825,23.8825,23.8825,23.8825,3.45238e-09,3.06532e-08,8.54844e-08,4.6839e-07,4.29491e-09,5.95729e-09,8.83508e-08,5.67476e-08,1.26098e-08,1.49292e-09,5.56875e-09,2.98765e-09,2.59179e-07,2.82689e-07,8.4926e-09,6.23816e-09,1.30837e-08,164744,1492.84,799.028,0.367249,3.14774e-09,1.03654e-10,4.45903e-07,0.0151985,9.9963e-11,0.582984,34.9194,2.15857e-10,2.18202,5.47906,9.13459e-05,3324.05,0.152055
32,0.0105387,0.000708373,0.863909,0.894573,4.39263,4.39263,4.39263,4.39263,4.39263,4.39263,4.39263,4.39263,4.39263,4.39263,4.39263,4.39263,4.39263,4.39263,4.39263,4.39263,4.39263,4.97754e-09,6.73463e-08,1.77096e-09,2.80056e-08,1.87487e-09,8.69716e-09,8.65253e-09,1.6589e-09,3.87934e-09,6.99005e-08,2.70005e-07,3.17679e-07,3.07149e-07,2.99282e-07,3.25774e-09,5.89691e-08,5.01661e-07,1.51386e+06,2844.34,642.459,0.610769,2.85182e-07,1.42351e-10,5.59033e-07,0.0128771,4.94586e-10,0.780184,93.776,9.85751e-10,2.01253,3.53273,8.87106e-05,3362.32,0.454674
33,0.0243135,1.82412e-05,0.84686,0.17235,18.954,18.954,18.954,18.954,18.954,18.954,18.954,18.954,18.954,18.954,18.954,18.954,18.954,18.954,18.954,18.954,18.954,6.94447e-08,8.7082e-09,5.29058e-09,7.32428e-09,2.74939e-09,1.61077e-09,6.95038e-09,1.6334e-07,1.56869e-09,3.92496e-08,1.8146e-08,4.76817e-07,9.37352e-08,1.84512e-07,1.86338e-09,7.19893e-08,3.94097e-08,778939,4010.74,178.74,0.400939,6.12378e-08,1.6909e-10,5.14905e-07,0.0155035,8.99903e-10,2.44641,27.8393,9.24997e-10,2.2089,6.31213,0.000112548,3210.34,0.505392
